0
////======================================================================================================================================================================================================
//// GOBLIN POINT EXTRA
////======================================================================================================================================================================================================
////Index   Year   Month   Day   DoW   Hour   Minute   Second
//0         *      *       *     *     00     0        0
//0         *      *       *     *     06     0        0
//0         *      *       *     *     12     0        0
//0         *      *       *     *     18     0        0
//======================================================================================================================================================================================================
// SWAMP OF DARKNESS EVENT EXP
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
1         *      *       *     1     02     30       0
1         *      *       *     1     08     30       0
1         *      *       *     1     14     30       0
1         *      *       *     1     20     30       0
//======================================================================================================================================================================================================
//  KUBERA EVENT EXP
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
2         *      *       *     3     02     30       0
2         *      *       *     3     08     30       0
2         *      *       *     3     14     30       0
2         *      *       *     3     20     30       0

//======================================================================================================================================================================================================
//  SCOCHT CANYON EVENT EXP
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
3         *      *       *     5     02     30       0
3         *      *       *     5     08     30       0
3         *      *       *     5     14     30       0
3         *      *       *     5     20     30       0


//======================================================================================================================================================================================================
//  URUK MOUNTAIN  JEWELS
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
4         *      *       *     2     02     30       0
4         *      *       *     2     08     30       0
4         *      *       *     2     14     30       0
4         *      *       *     2     20     30       0

//======================================================================================================================================================================================================
//  FEREA JEWELS
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
5         *      *       *     4     02     30       0
5         *      *       *     4     08     30       0
5         *      *       *     4     14     30       0
5         *      *       *     4     20     30       0
//======================================================================================================================================================================================================
//  SCOTCH CANYON JEWELS
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
6         *      *       *      6     02     30       0
6         *      *       *      6     08     30       0
6         *      *       *      6     14     30       0
6         *      *       *      6     20     30       0
end

1
//======================================================================================================================================================================================================
// GOBLIN POINT EXTRA
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
//0             1590                  1589             7200
//======================================================================================================================================================================================================
// SWAMP OF DARKNESS EVENT EXP
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
1             1580                  1589             7200 
//======================================================================================================================================================================================================
// KUBERA MINE EVENT EXP
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
2             1581                  1589             7200
//======================================================================================================================================================================================================
// SCOCHT CANYON EVENT EXP
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
3             1532                  1589             7200
//======================================================================================================================================================================================================
// URUK MOUNTAIN JEWELS
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
4             1583                  1590             7200
//======================================================================================================================================================================================================
// FEREA JEWELS
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
5             1584                  1590             7200
//======================================================================================================================================================================================================
// SCOCHT CANYON JEWELS
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
6             1585                  1590             7200
end
2
//======================================================================================================================================================================================================
// EVENT EXP
//======================================================================================================================================================================================================
//Index   BonusIndex   BonusValue_AL0   BonusValue_AL1   BonusValue_AL2   BonusValue_AL3   ItemIndex   ItemLevel   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax
1         0            30               30               30               30               *           *           83          -1             -1                -1            
2         0            30               30               30               30               *           *           87          -1             -1                -1            
3         0            30               30               30               30               *           *           94          -1             -1                -1            
//======================================================================================================================================================================================================
// JEWEL EXP
//======================================================================================================================================================================================================
//Index   BonusIndex   BonusValue_AL0   BonusValue_AL1   BonusValue_AL2   BonusValue_AL3   ItemIndex   ItemLevel   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax
4         3            30               30               30               30               *           *           88          -1             -1                -1            
5         3            30               30               30               30               *           *           85          -1             -1                -1            
6         3            30               30               30               30               *           *           94          -1             -1                -1            
end
