0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
//-----------------------------------------------------------------
// PKEvent
0         *      *       *     *     19     05        0
//-----------------------------------------------------------------
// Sự Kiện Rồng Đỏ =>> Thời Gian
1         *      *       *     *     0      10        0
1         *      *       *     *     1      10        0
1         *      *       *     *     2      10        0
1         *      *       *     *     3      10        0
1         *      *       *     *     4      10        0
1         *      *       *     *     5      10        0
1         *      *       *     *     6      10        0
1         *      *       *     *     7      10        0
1         *      *       *     *     8      10        0
1         *      *       *     *     9      10        0
1         *      *       *     *     10     10        0
1         *      *       *     *     11     10        0
1         *      *       *     *     12     10        0
1         *      *       *     *     13     10        0
1         *      *       *     *     14     10        0
1         *      *       *     *     15     10        0
1         *      *       *     *     16     10        0
1         *      *       *     *     17     10        0
1         *      *       *     *     18     10        0
1         *      *       *     *     19     10        0
1         *      *       *     *     20     10        0
1         *      *       *     *     21     10        0
1         *      *       *     *     22     10        0
1         *      *       *     *     23     10        0
//-----------------------------------------------------------------
// Sự Kiện Boss Vàng =>> Thời Gian
2         *      *       *     *     0      15        0
2         *      *       *     *     1      15        0
2         *      *       *     *     2      15        0
2         *      *       *     *     3      15        0
2         *      *       *     *     4      15        0
2         *      *       *     *     5      15        0
2         *      *       *     *     6      15        0
2         *      *       *     *     7      15        0
2         *      *       *     *     8      15        0
2         *      *       *     *     9      15        0
2         *      *       *     *     10     15        0
2         *      *       *     *     11     15        0
2         *      *       *     *     12     15        0
2         *      *       *     *     13     15        0
2         *      *       *     *     14     15        0
2         *      *       *     *     15     15        0
2         *      *       *     *     16     15        0
2         *      *       *     *     17     15        0
2         *      *       *     *     18     15        0
2         *      *       *     *     19     15        0
2         *      *       *     *     20     15        0
2         *      *       *     *     21     15        0
2         *      *       *     *     22     15        0
2         *      *       *     *     23     15        0
//-----------------------------------------------------------------
// Sự Kiện Binh Đoàn Phù Thủy =>> Thời Gian 
3         *      *       *     *     0      20        0
3         *      *       *     *     1      20        0
3         *      *       *     *     2      20        0
3         *      *       *     *     3      20        0
3         *      *       *     *     4      20        0
3         *      *       *     *     5      20        0
3         *      *       *     *     6      20        0
3         *      *       *     *     7      20        0
3         *      *       *     *     8      20        0
3         *      *       *     *     9      20        0
3         *      *       *     *     10     20        0
3         *      *       *     *     11     20        0
3         *      *       *     *     12     20        0
3         *      *       *     *     13     20        0
3         *      *       *     *     14     20        0
3         *      *       *     *     15     20        0
3         *      *       *     *     16     20        0
3         *      *       *     *     17     20        0
3         *      *       *     *     18     20        0
3         *      *       *     *     19     20        0
3         *      *       *     *     20     20        0
3         *      *       *     *     21     20        0
3         *      *       *     *     22     20        0
3         *      *       *     *     23     20        0
//-----------------------------------------------------------------
// Sự Kiện New Year =>> Thời Gian 
4         *      *       *     *     0      25        0
4         *      *       *     *     1      25        0
