//=================================================================================================================================================================================================================================================================================================================
//DW
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
1				000			250			1000		8			//Poison
1				501			*			1000		10			//Poison
384				000			250			1000		8			//Poison Master
384				501			*			1000		10			//Poison Master
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
2				000			250			1000		3			//Meteorite
2				501			*			1000		4			//Meteorite
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
3				000			250			1000		3			//Lighting
3				501			*			1000		4			//Lighting
379				000			250			1000		3			//Lighting Master
379				501			*			1000		4			//Lighting Master
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
4				000			250			1000		3			//Fire Ball
4				500			*			1000		4			//Fire Ball
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
7				000			250			1000		3			//Ice
7				501			*			1000		4			//Ice
389				000			250			1000		3			//Ice Master
389				501			*			1000		4			//Ice Master
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
11				000			250			1000		3			//Power Wave
11				501			*			1000		4			//Power Wave
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
//16				000			120			1000		5			//Soul Barrier
//16				121			*			1000		10			//Soul Barrier
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
17				000			250			1000		15			//Energy Ball
17				501			*			1000		20			//Energy Ball
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
45				000			250			1000		10			//Mana Glaive
45				501			*			1000		20			//Mana Glaive
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
10				000			1000		1000		10			//Hellfire
10				1001		*			1000		15			//Hellfire
388				000			1000		1000		10			//Hellfire Master 1
388				1001		*			1000		15			//Hellfire Master 1
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
12				000			250			1000		10			//Aqua Beam
12				251			500		    1000		15			//Aqua Beam
12				1001		*			1000		20			//Aqua Beam
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
14				000			1000		1000		10			//Inferno
14				1001		*			1000		20			//Inferno
381				000			1000		1000		10			//Inferno Master 1
381				1001		*			1000		20			//Inferno Master 1
486				000			1000		1000		10			//Inferno Master 2
486				1001		*			1000		20			//Inferno Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
5				000			250			1000		30			//Flame
5				251			500		    1000		60			//Flame
5				501		    1000		1000		70			//Flame
5				3000		*		    1000		80			//Flame
378				000			250			1000		30			//Flame Master 1
378				251			500		    1000		60			//Flame Master 1
378				501		    1000		1000		70			//Flame Master 1
378				3000		*		    1000		80			//Flame Master 1
483				000			250			1000		30			//Flame Master 2
483				251			500		    1000		60			//Flame Master 2
483				501		    1000		1000		70			//Flame Master 2
483				3000		*		    1000		80			//Flame Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
8				000			250			1000		30			//Twister
8				251			500		    1000		40			//Twister
8				501		    1000		1000		50			//Twister
8				1001		*		    1000		60			//Twister
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
9				000			250			1000		50			//Evil Spirit
9				251			500		    1000		60			//Evil Spirit
9				501		    1000		1000		70			//Evil Spirit
9				3000		*		    1000		80			//Evil Spirit
385				000			250			1000	    50			//Evil Spirit Master 1
385				251			500		    1000		60			//Evil Spirit Master 1
385				501		    1000		1000		70			//Evil Spirit Master 1
385				3000		*		    1000		80			//Evil Spirit Master 1
487				000			250			1000	    50			//Evil Spirit Master 2
487				251			500		    1000		60			//Evil Spirit Master 2
487				501		    1000		1000		70			//Evil Spirit Master 2
487				3000		*		    1000		80			//Evil Spirit Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
13				000			250			1000		20			//Cometfall
13				251			500		    1000		30			//Cometfall
13				501		    1000		1000		40			//Cometfall
13				1001		*		    1000		50			//Cometfall 
382				000			250			1000		20			//Cometfall Master
382				251			500		    1000		30			//Cometfall Master 
382				501		    1000		1000		40			//Cometfall Master 
382				1001		*		    1000		50			//Cometfall Master 
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
38				000			250			1000		20			//Decay
38				251			500		    1000		30			//Decay
38				501		    1000		1000		30			//Decay
38				1001		*		    1000		40			//Decay 
387				000			250			1000		20			//Decay Master
387				251			500		    1000		30			//Decay Master 
387				501		    1000		1000		30			//Decay Master 
387				1001		*		    1000		40			//Decay Master 
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
39				000			250			1000		40			//Ice Storm
39				251			500		    1000		50			//Ice Storm
39				501		    1000		1000		55			//Ice Storm
39				1001		*   		1000		60			//Ice Storm
391				000			250			1000		40			//Ice Storm Master 1
391				251			500		    1000		50			//Ice Storm Master 1
391				501		    1000		1000		55			//Ice Storm Master 1
391				1001		*   		1000		60			//Ice Storm Master 1
393				000			250			1000		40			//Ice Storm Master 2
393				251			500		    1000		50			//Ice Storm Master 2
393				501		    1000		1000		55			//Ice Storm Master 2
393				1001		*   		1000		60			//Ice Storm Master 2
//=================================================================================================================================================================================================================================================================================================================
//DK
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
22				000			105			1000		5			//Cyclone
22				106			*			1000		10			//Cyclone
326				000			105			1000		5			//Cyclone Master 1
326				106			*			1000		10			//Cyclone Master 1
479				000			105			1000		5			//Cyclone Master 2
479				106			*			1000		10			//Cyclone Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
41				000			250		    1000		20			//Twisting Slash
41				251			500		    1000		25			//Twisting Slash
41				1001		1500		1000		65			//Twisting Slash
41				1501		3000		1000		65			//Twisting Slash
41				1001		*			1000		65			//Twisting Slash
330				000			250			1000		20			//Twisting Slash Master 1
330				251			500		    1000		25			//Twisting Slash Master 1
330				1001		1500		1000		65			//Twisting Slash Master 1
330				1501		3000		1000		65			//Twisting Slash Master 1
330				1001		*			1000		65			//Twisting Slash Master 1
332				000			250			1000		20			//Twisting Slash Master 2
332				251			500		    1000		25			//Twisting Slash Master 2
332				1001		1500		1000		65			//Twisting Slash Master 2
332				1501		3000		1000		65			//Twisting Slash Master 2
332				1001		*			1000		65			//Twisting Slash Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
42				000			105			1000		2			//Rageful Blow
42				106			*			1000		3			//Rageful Blow
331				000			105			1000		2			//Rageful Blow Master
331				106			*			1000		3			//Rageful Blow
333				000			105			1000		2			//Rageful Blow Master 2
333				106			*			1000		3			//Rageful Blow
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
43				000			250			1000		8			//Death Stab
43				251			500		    1000		9			//Death Stab
43				501		    1000		1000		10			//Death Stab
43				1001		*   		1000		12			//Death Stab
336				000			250			1000		8			//Death Stab Master 1
336				251			500		    1000		9			//Death Stab Master 1
336				501		    1000		1000		10			//Death Stab Master 1
336				3001	    *			1000		12			//Death Stab Master 1
339				000			250			1000		8			//Death Stab Master 2
339				251			500		    1000		9			//Death Stab Master 2
339				501		    1000		1000		10			//Death Stab Master 2
339				3001	    *			1000		12			//Death Stab Master 2
342				000			250			1000		8			//Death Stab Master 3
342				251			500		    1000		9			//Death Stab Master 3
342				501		    1000		1000		10			//Death Stab Master 3
342				3001	    *			1000		12			//Death Stab Master 3
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
44				000			105			1000		5			//Moon Slash
44				106			*			1000		10			//Moon Slash
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
232				000			105			1000		2			//Explotion ChemBang
232				106			*			1000		4			//Explotion ChemBang
337				000			105			1000		2			//Explotion ChemBang Master 1
337				106			*			1000		4			//Explotion ChemBang Master 1
340				000			105			1000		2			//Explotion ChemBang Master 2
340				106			*			1000		4			//Explotion ChemBang Master 2
343				000			105			1000		2			//Explotion ChemBang Master 3
343				106			*			1000		4			//Explotion ChemBang Master 3
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
//48				000			*			1000		1			//Greater Life
//356				000			*			1000		2			//Greater Life Master
//360				000			*			1000		2			//Greater Life Master 2
//=================================================================================================================================================================================================================================================================================================================
//ELF
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
24				000			250			1000		40			//Triple Shot
24				251			500		    1000		45			//Triple Shot
24				501		    1000		1000		50			//Triple Shot
24				1001		*		    1000		50			//Triple Shot
414				000			250			1000		40			//Triple Shot Master 1
414				251			500		    1000		45			//Triple Shot Master 1
414				501		    1000		1000		50			//Triple Shot Master 1
