//Section   Type   MaxSocket
0           26     5
0           27     5
0           28     5
0           29     5
0           30     5
0           36     5
0           37     5
0           38     5
0           42     5
0           44     5
0           46     5
0           51     5
0           53     5
0           101    5
0           106    5
0           107    5
0           108    5

2           16     5
2           17     5
2           19     5
2           20     5
2           22     5
2           25     5

3           12     5


4           23     5
4           25     5
4           26     5
4           28     5
4           30     5
4           33     5


5           30     5


5           31     5
5           32     5
5           35     5
5           37     5
5           41     5
5           43     5
5           49     5
5           50     5


6           17     5
6           18     5
6           19     5
6           20     5
6           22     5
6           23     5
6           24     5
6           25     5
6           26     5


7           45     5
7           46     5
7           49     5
7           50     5
7           51     5
7           52     5
7           53     5
7           54     5
7           55     5
7           56     5
7           58     5
7           74     5
7           75     5
7           77     5
7           98     5
7           99     5
7           100    5
7           101    5
7           102    5
7           103    5
7           104    5
7           105    5
7           106    5
7           107    5
7           108    5
7           109    5
7           110    5
7           111    5
7           112    5
7           113    5
7           114    5
7           115    5
7           138    5
7           139    5
7           140    5
7           141    5
7           142    5
7           143    5
7           144    5
7           145    5
7           146    5
7           147    5
7           148    5
7           149    5
7           150    5
7           151    5
7           152    5
7           153    5
7           154    5
7           155    5
7           156    5
7           157    5
7           158    5
7           159    5
7           160    5
7           161    5
7           162    5
7           163    5
7           164    5
7           165    5
7           166    5
7           167    5
7           168    5
7           169    5
7           170    5
7           171    5
7           172    5
7           173    5
7           174    5
7           175    5
7           176    5
7           177    5
7           178    5
7           179    5
7           180    5
7           181    5

8           45     5
8           46     5
8           47     5
8           48     5
8           49     5
8           50     5
8           51     5
8           52     5
8           53     5
8           54     5
8           55     5
8           56     5
8           57     5
8           58     5
8           74     5
8           75     5
8           76     5
8           77     5
8           98     5
8           99     5
8           100    5
8           101    5
8           102    5
8           103    5
8           104    5
8           105    5
8           106    5
8           107    5
8           108    5
8           109    5
8           110    5
8           111    5
8           112    5
8           113    5
8           114    5
8           115    5
8           138    5
8           139    5
8           140    5
8           141    5
8           142    5
8           143    5
8           144    5
8           145    5
8           146    5
8           147    5
8           148    5
8           149    5
8           150    5
8           151    5
8           152    5
8           153    5
8           154    5
8           155    5
8           156    5
8           157    5
8           158    5
8           159    5
8           160    5
8           161    5
8           162    5
8           163    5
8           164    5
8           165    5
8           166    5
8           167    5
8           168    5
8           169    5
8           170    5
8           171    5
8           172    5
8           173    5
8           174    5
8           175    5
8           176    5
8           177    5
8           178    5
8           179    5
8           180    5
8           181    5


9           45     5
9           46     5
9           47     5
9           48     5
9           49     5
9           50     5
9           51     5
9           52     5
9           53     5
9           54     5
9           55     5
9           56     5
9           57     5
9           58     5
9           74     5
9           75     5
9           76     5
9           77     5
9           98     5
9           99     5
9           100    5
9           101    5
9           102    5
9           103    5
9           104    5
9           105    5
9           106    5
9           107    5
9           108    5
9           109    5
9           110    5
9           111    5
9           112    5
9           113    5
9           114    5
9           115    5
9           138    5
9           139    5
9           140    5
9           141    5
9           142    5
9           143    5
9           144    5
9           145    5
9           146    5
9           147    5
9           148    5
9           149    5
9           150    5
9           151    5
9           152    5
9           153    5
9           154    5
9           155    5
9           156    5
9           157    5
9           158    5
9           159    5
9           160    5
9           161    5
9           162    5
9           163    5
9           164    5
9           165    5
9           166    5
9           167    5
9           168    5
9           169    5
9           170    5
9           171    5
9           172    5
9           173    5
9           174    5
9           175    5
9           176    5
9           177    5
9           178    5
9           179    5
9           180    5
9           181    5

10          45     5
10          46     5
10          47     5
10          48     5
10          49     5
10          50     5
10          51     5
10          52     5
10          53     5
10          54     5
10          55     5
10          56     5
10          57     5
10          58     5
10          74     5
10          75     5
10          76     5
10          98     5
10          99     5
10          100    5
10          101    5
10          102    5
10          103    5
10          104    5
10          105    5
10          106    5
10          107    5
10          109    5
10          110    5
10          111    5
10          112    5
10          113    5
10          114    5
10          115    5
10          138    5
10          139    5
10          140    5
10          141    5
10          142    5
10          143    5
10          144    5
10          145    5
10          146    5
10          147    5
10          148    5
10          149    5
10          150    5
10          151    5
10          152    5
10          153    5
10          154    5
10          155    5
10          156    5
10          157    5
10          158    5
10          159    5
10          160    5
10          161    5
10          162    5
10          163    5
10          164    5
10          165    5
10          166    5
10          167    5
10          168    5
10          169    5
10          170    5
10          171    5
10          172    5
10          173    5
10          174    5
10          175    5
10          176    5
10          177    5
10          178    5
10          179    5
10          180    5
10          181    5

11          45     5
11          46     5
11          47     5
11          48     5
11          49     5
11          50     5
11          51     5
11          52     5
11          53     5
11          54     5
11          55     5
11          56     5
11          57     5
11          58     5
11          74     5
11          75     5
11          76     5
11          77     5
11          98     5
11          99     5
11          100    5
11          101    5
11          102    5
11          103    5
11          104    5
11          105    5
11          106    5
11          107    5
11          108    5
11          109    5
11          110    5
11          111    5
11          112    5
11          113    5
11          114    5
11          115    5
11          138    5
11          139    5
11          140    5
11          141    5
11          142    5
11          143    5
11          144    5
11          145    5
11          146    5
11          147    5
11          148    5
11          149    5
11          150    5
11          151    5
11          152    5
11          153    5
11          154    5
11          155    5
11          156    5
11          157    5
11          158    5
11          159    5
11          160    5
11          161    5
11          162    5
11          163    5
11          164    5
11          165    5
11          166    5
11          167    5
11          168    5
11          169    5
11          170    5
11          171    5
11          172    5
11          173    5
11          174    5
11          175    5
11          176    5
11          177    5
11          178    5
11          179    5
11          180    5
11          181    5
end
