0
//ServerCode   MapServerGroup   InitSetVal   IpAddress         Port
0	                0	        1	       S192.168.0.200      55901
1	                0	        1	       S192.168.0.200      55901
19	                0	        0	       S192.168.0.200      55919
end

1
//ServerCode   NotMoveOption   NextMap   NextServerCode

0	       0	       30        19
0	       0	       31        19
0	       0	       34        19 // Crywork
0	       0	       41        19 //Barracks
0	       0	       42        19 //Refuge
0	       0	       79        19 // Loren Market

1	       0	       30        19
1	       0	       31        19
1	       0	       34        19 // Crywork
1	       0	       41        19 //Barracks
1	       0	       42        19 //Refuge
1	       0	       79        19 // Loren Market

19	       1	       30        -1
19	       1	       31        -1
19	       1	       34        -1 // Crywork
19	       1	       41        -1 //Barracks
19         1	       42        -1 //Refuge
19	       1	       79        -1 // Loren Market
end
