//Map   X      Y      TX      TY      MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
0       1      1      255     255     1        400        *          *          0
1       1      1      255     255     1        400        *          *          0
2       1      1      255     255     1        400        *          *          0
3       1      1      255     255     1        400        *          *          0
4       1      1      255     255     1        400        *          *          0
6       1      1      255     255     1        400        *          *          0
7       1      1      255     255     1        400        *          *          0
8       1      1      255     255     1        400        *          *          0
10      1      1      255     255     1        400        *          *          0
30      1      1      255     255     1        400        *          *          0
33      1      1      255     255     1        400        *          *          0
34      1      1      255     255     1        400        *          *          0
37      1      1      255     255     1        400        *          *          0
38      1      1      255     255     1        400        *          *          0
41      1      1      255     255     1        400        *          *          0
42      1      1      255     255     1        400        *          *          0
51      1      1      255     255     1        400        *          *          0
56      1      1      255     255     1        400        *          *          0
57      1      1      255     255     1        400        *          *          0
80      1      1      255     255     1        400        *          *          0
81      1      1      255     255     1        400        *          *          0
83      1      1      255     255     1        400        *          *          0
84      1      1      255     255     1        400        *          *          0
85      1      1      255     255     1        400        *          *          0
86      1      1      255     255     1        400        *          *          0
87      1      1      255     255     1        400        *          *          0
88      1      1      255     255     1        400        *          *          0
89      1      1      255     255     1        400        *          *          0
90      1      1      255     255     1        400        *          *          0
91      1      1      255     255     1        400        *          *          0
92      1      1      255     255     1        400        *          *          0
93      1      1      255     255     1        400        *          *          0
94      1      1      255     255     1        400        *          *          0
95      1      1      255     255     1        400        *          *          0
96      1      1      255     255     1        400        *          *          0
97      1      1      255     255     1        400        *          *          0
98      1      1      255     255     1        400        *          *          0
99      1      1      255     255     1        400        *          *          0
100     1      1      255     255     1        400        *          *          0
endend
