//------------------------------------------------------------------------------
// Developer Project: takumi12
//------------------------------------------------------------------------------
// Ruud Shop
//------------------------------------------------------------------------------
// Descripcion: Tienda Shop Exclusiva Item Mix S15
// -----------------------------------------------------------------------------
// MaxPage: 5
// Slot Por Page: 5
// Class: -1 = All Class
// Class: 0 = Dark Wizard
// Class: 1 = Dark Knight
// Class: 2 = Muse Elf
// Class: 3 = Magic Gladiator
// Class: 4 = Dark Lord
// Class: 5 = Summoner
// Class: 6 = Rage Fighter
// ------------------------------------------------------------------------------
//Type Item Class Page Slot Price
//-- Item Mago
7      111   0	  1    1    500
8      111   0	  1    2    500
9      111   0	  1    3    500
10     111   0	  1    4    500
11     111   0	  1    5    500
//-- Item BK
7      110   1	  1    1    500
8      110   1	  1    2    500
9      110   1	  1    3    500
10     110   1	  1    4    500
11     110   1	  1    5    500
//-- Item Elf
7      112   2	  1    1    500
8      112   2	  1    2    500
9      112   2	  1    3    500
10     112   2	  1    4    500
11     112   2	  1    5    500
//-- Item SuM
7      113   5	  1    1    500
8      113   5	  1    2    500
9      113   5	  1    3    500
10     113   5	  1    4    500
11     113   5	  1    5    500
//-- Item MG
8      114   3	  1    1    500
9      114   3	  1    2    500
10     114   3	  1    3    500
11     114   3	  1    4    500
//-- Item DL
7      115   4	  1    1    500
8      115   4	  1    2    500
9      115   4	  1    3    500
10     115   4	  1    4    500
11     115   4	  1    5    500
//-- Item RF
7      116   6	  1    1    500
8      116   6	  1    2    500
9      116   6	  1    3    500
11     116   6	  1    4    500
//-- Item General
14     412  -1	  2    1    500
14     413  -1	  2    2    500
14     414  -1	  2    3    500
14     415  -1	  2    4    500
14     416  -1	  2    5    500
//--
14     417  -1	  3    1    500
14     418  -1	  3    2    500
14     429  -1	  3    3    500
14     430  -1	  3    4    500
end
