//Index   Message
0         "[Huyết Lâu] sẽ đóng cửa sau %d phút"
1         "[Huyết Lâu] đóng cửa"
2         "[Huyết Lâu] %d bắt đầu sau %d phút"
3         "[Huyết Lâu] bắt đầu"
4         "Tất cả quái vật đã bị đánh bại"
5         "Tất cả BOSS đã bị đánh bại"
6         "Blood Castle kết thúc"
7         "Bạn không đủ mạnh để tham gia Blood Castle"
8         "Người chơi %s đã rớt vũ khí Angel"
9         "Người chơi %s đã nhặt vũ khí Angel"
10        "Người chơi %s phá hủy cánh cổng Castle"                                                       
11        "Người chơi %s phá hủy bức tượng"
16        "[Hỗn Nguyên Lâu] sẽ đóng cửa sau %d phút"
17        "[Hỗn Nguyên Lâu] đóng cửa"
18        "[Hỗn Nguyên Lâu] %d bắt đầu sau %d phút"
19        "[Hỗn Nguyên Lâu] bắt đầu"
20        "[Hỗn Nguyên Lâu] kết thúc"
32		  "Tài khoản thường"
33		  "VIP Đồng"
34		  "VIP Bạc"
35		  "VIP Vàng"                                                                                  
36      "You can not use this map!"                                                                          
37      "You have Killed a Hound"                                                                                                   
38      ""                                                                                                   
39      ""                                                                                                   
40      ""                                                                                                   
41      ""                                                                                                   
42      ""                                                                                                   
43      ""                                                                                                   
44      ""                                                                                                   
45      ""                                                                                                   
46      "The Great Demon has attacked Debender"                                                              
47      "Player% s destroyed the Ancient Dragon"                                                             
48      ""                                                                                                   
49      ""                                                                                                   
50      "The player %s destroying the Spider Eggs"                                                           
51      ""                                                                                                   
52      ""                                                                                                   
53      "%s"                                                                                                 
54      ""                                                                                                   
55      ""                                                                                                   
56      ""                                                                                                   
57      ""                                                                                                   
58      "Thao tác quá nhanh vui lòng chờ đợi!"      
59      "Thao tác quá nhanh vui lòng chờ đợi!"     
60      "%s"    
64        "Bạn không được phép sử dụng"
65        "Bạn phải có ít nhất %d Level để sử dụng"
66        "Bạn phải có ít nhất %d Reset để sử dụng"
67        "Bạn phải có ít nhất %d Zen để sử dụng"
68        "Bạn cần đợi %d giây để sử dụng"
69        "[POST] %s"
70        "Bạn không có quyền sử dụng /add"
71        "Lệnh này chỉ dùng cho Chúa Tể"
72        "Bạn không đủ điểm để cộng"
73        "Bạn cần %d zen để sử dụng /add"
74        "Bạn đã dùng %d points, còn dư %d"
75        "Bạn không có quyền sử dụng /pkclear"
76        "Bạn không phải quỷ"
77        "Bạn cần %d zen để sử dụng /pkclear"
78        "Rửa tội thành công"
79        "Bạn không có quyền sử dụng /zen"
80        "Bạn nhập sai giá trị"
81  "Bạn không có quyền sử dụng /change "
82  "Bạn cần có ít nhất %d Zen để sử dụng /change "
83        "Bạn đã làm nhiệm vụ cuối cùng"
84        "Thăng cấp nhiệm vụ thành công"
85  	  "Bạn không có quyền sử dụng /ware <Chuyển hòm đồ>"
86		  "Bạn không thể sử dụng /ware <Chuyển hòm đồ> tại thời điểm này "
87  "Bạn đã gõ một ngực không hợp lệ để thay đổi "
88        "Chuyển sang rương đồ %d"
89        "Bạn không có quyền sử dụng /reset"
90        "Bạn không thể sử dụng /reset tại thời điểm này"
91        "Bạn cần %d level để sử dụng /reset"
92        "Bạn cần %d zen để sử dụng /reset"
93        "Bạn không thể reset quá %d"
94  "Bạn không thể đặt lại với các mục được trang bị"
95        "Resets thành công, hôm nay bạn reset lần %d/%d"
96        "Bạn không có quyền sử dụng /gmmove"
97        "Mục tiêu không hợp lệ /gmmove"
98        "Bạn không có quyền sử dụng /gmpost"
99        "Bạn không có quyền sử dụng /track"
100       "Mục tiêu không hợp lệ /track"
101       "Bạn không có quyền sử dụng /trace"
102       "Mục tiêu không hợp lệ /trace"
103       "Bạn không có quyền sử dụng /disconnect"
104       "Mục tiêu không hợp lệ /disconnect"
105       "Bạn không có quyền sử dụng /fireworks"
106       "Bạn không có quyền sử dụng /make"
107       "Tạo item thành công!"
108       "Bạn không có quyền sử dụng /skin"
109       "Mục tiêu không hợp lệ /skin"
110       "Bạn không có quyền sử dụng /setmoney"
111       "Mục tiêu không hợp lệ /setmoney"
112       "Bạn nhập sai giá trị /setmoney"
113       "Bạn không có quyền sử dụng /notice"
114       "Tự động cộng điểm: Bật (%d)"
115       "Tự động cộng điểm: Tắt"
116       "Tự động Reset: Bật"
117       "Tự động Reset: Tắt"
118       "Bạn không có quyền sử dụng /mreset"
119       "Bạn không thể sử dụng /mreset tại thời điểm này"
120  "Bạn cần có ít nhất %d cấp để sử dụng /refile "
121  "Bạn cần có ít nhất %d Reset để sử dụng /refile "
122  "Bạn cần có ít nhất %d Zen để sử dụng /refile "
123  "Bạn không thể có nhiều hơn %d Reset Master "
124  "Bạn không thể đặt lại chủ với các mục được trang bị"
125  "Bạn Thạc sĩ thiết lập lại thành công, và bây giờ có %d chủ Reset "
126  "Nhận yêu cầu: ngày "
127  "Nhận yêu cầu: tắt "
128  "Nhận yêu cầu: tự động "
129       "Bạn chỉ có thể reset %d trong ngày"
130       "Bạn chỉ có thể reset %d trong tuần"
131       "Bạn chỉ có thể reset %d trong tháng"
132       "Bạn chỉ có thể reset master %d trong ngày"
133       "Bạn chỉ có thể reset master %d trong tuần"
134       "Bạn chỉ có thể reset master %d trong tháng"
135       "Bạn không có quyền sử dụng /hide"
144       "[Quảng Trường Quỷ] sẽ đóng cửa sau %d phút"
145       "[Quảng Trường Quỷ] đóng cửa"
146       "[Quảng Trường Quỷ] %d bắt đầu sau %d giây"
147       "[Quảng Trường Quỷ] bắt đầu"
148       "[Quảng Trường Quỷ] kết thúc"
149       "Bạn không đủ mạnh để tham gia Quảng Trường Quỷ"
150       "Bạn chưa đủ điều kiện để Reset"
151       "Bạn không thể Reset, hãy thử thoát trò chơi!"
152       "Bạn không thể Reset ngay bây giờ!"
153       "Bạn cần rửa tội trước khi tiến hành Reset!"                                            
159     "Hi"

160	"[Quyết Đấu] Nhân Vật Không Online"
161	"[Quyết Đấu] Bạn Không Thể thách đấu trong thời điểm này"
162	"[Quyết Đấu] Nhân Vật tự dộng từ chối lời mời thách đấu của Bạn"
163	"[Quyết Đấu] Đã gửi lời thách đấu đến đối phương"
164	"[Quyết Đấu] Nhân Vật Đã được yêu cầu đấu thách đấu"
165	"[Quyết Đấu] Bạn Không Thể thách đấu khi đang chiến Guild"
166	"[Quyết Đấu] Nhân Vật Không Thể đấu trong Chiến Guild"
167	"[Quyết Đấu] Bạn Không Thể thách đấu tại map này"
168	"[Quyết Đấu] Bạn Không Thể đấu trong Castle Siege"
169	"[Quyết Đấu] Không có Nhân Vật nào tên như vậy"
170	"[Quyết Đấu] Bạn đang trong trạng thái chiến đấu"
171	"[Quyết Đấu] Nhân Vật này đang trong trạng thái chiến đấu"
172	"[Quyết Đấu] Nhân Vật từ chối yêu cầu của Bạn"
173	"[Quyết Đấu] Tất cả đầu trường Đã đầy"
174	"[Quyết Đấu] %s vs %s Bắt đầu!"
175	"[Quyết Đấu] Nhân Vật %s chiến thắng %s trong đấu trường!"
176       "Bạch Long Điện sẽ đóng cửa sau %d phút"
177       "Bạch Long Điện đóng cửa"
178       "Bạch Long Điện %d bắt đầu sau %d giây"
179       "Bạch Long Điện bắt đầu"
180       "Bạch Long Điện kết thúc"
181       "Bạn Không đủ mạnh để tham gia Bạch Long Điện"
182       "Bạn Không có vé để tham gia Bạch Long Điện"
183       "Nhân Vật [%s] rớt artifact"
184       "Nhân Vật [%s] nhặt artifact"
185		"Người chơi [%s] tiêu diệt Rồng Vàng Con!"
186		"Người chơi [%s] tiêu diệt Thỏ Ngọc!"
187		"Người chơi [%s] tiêu diệt Sự Kiện Mùa Hè!"

188       "Nhân Vật [%s] Tiêu Diệt Thỏ Ngọc !"

189		"Sự Kiện Siêu Boss Đã Bắt Đầu!"
190		"Sự Kiện Năm Mới Đã Bắt Đầu!"

192	     "Sự kiện Quỷ Xương bắt đầu!"
193	     "Sự kiện Rồng Đỏ bắt đầu!"
194	     "Sự kiện Binh Đoàn Hoàng Kim bắt đầu!"
195	     "Sự kiện [Tiêu diệt] Binh Đoàn Phù Thủy bắt đầu!"
196	     "Sự kiện [Tiêu diệt] Junie bắt đầu!"
197	     "Sự kiện [Tiêu diệt] Binh đoàn thỏ trắng bắt đầu!"
198	     "Sự kiện [Tiêu diệt] Hỏa Diệm Quỷ bắt đầu!"
199	     "Sự kiện Christmas bắt đầu!"
200	     "Sự kiện Medusa bắt đầu!"

202	     "Nhân vật %s tiêu diệt Qủy Xương!"
203	     "Nhân vật %s tiêu diệt Rồng Đỏ!"
204	     "Nhân vật %s tiêu diệt Boss Kim Long !"
205	     "Nhân vật %s tiêu diệt Binh Đoàn Phù Thủy!"
206	     "Nhân vật %s tiêu diệt Ông già Noel!"
207	     "Nhân vật %s tiêu diệt Medusa!"

208       "Thương nhân Moss Xuất Hiện!"
209       "Thương nhân Moss Hết!"
210       "Sự Kiện Invoking Demons bắt đầu!"
211       "Sự kiện Eggs Event bắt đầu!"
212       "Sự Kiện Huyết Quỷ Vương Xuất Hiện !"
217		"Sự Kiện Kundun Kalima 7 bắt đầu!"
218		"KunDun bị tiêu diệt bởi [%s]"
219		"Nhân vật [%s] Đã Tiêu Diệt Qủy Vương!"
220		"Nhân vật [%s] Đã Tiêu Diệt Erohim!"
221		"Nhân vật [%s] Đã Tiêu Diệt Sự Kiện Năm Mới!"
224       "Bạn cần %d level để move"
