//MinReset   MaxReset   Level_AL0   Level_AL1   Level_AL2   Level_AL3   Money_AL0   Money_AL1   Money_AL2   Money_AL3   Point_AL0   Point_AL1   Point_AL2   Point_AL3
0			10000			400			390			380			370		1000000 	1000000     2000000	    2000000			400			400			400			400	

//2			10			400			395			395			390			2000000 	2000000     2000000	    2000000			380			380			380			380	
//11			20			400			395			395			390			2000000 	2000000     2000000	    2000000			350			350			350			350	
//21			30			400			395			395			390			2000000 	2000000     2000000	    2000000			320			320			320			320	
//31			40			400			395			395			390			2000000 	2000000     2000000	    2000000			290			290			290			290	
//41			50			400			395			395			390			2000000 	2000000     2000000	    2000000			260			260			260			260	
//51			60			400			395			395			390			2000000 	2000000     2000000	    2000000			230			230			230			230	
//61			70			400			395			395			390			2000000 	2000000     2000000	    2000000			220			220			220			220	
//71			80			400			395			395			390			2000000 	2000000     2000000	    2000000			210			210			210			210	
//81			90			400			395			395			390			2000000 	2000000     2000000	    2000000			190			190			190			190	
//91			100			400			395			395			390			2000000 	2000000     2000000	    2000000			175			175			175			175	
//101			150			400			395			395			390			2000000 	2000000     2000000	    2000000			150			150			150			150	
//151			200			400			395			395			390			2000000 	2000000     2000000	    2000000			150			150			150			150	
//201			250			400			395			395			390			2000000 	2000000     2000000	    2000000			130			130			130			130	
//251			300			400			395			395			390			2000000 	2000000     2000000	    2000000			100			100			100			100	
//301			310			400			395			395			390			2000000 	2000000     2000000	    2000000			100			100			100			100	
//311			350			400			395			395			390			2000000 	2000000     2000000	    2000000			100			100			100			100	
//351			400			400			395			395			390			2000000 	2000000     2000000	    2000000			100			100			100			100	
//401			500			400			395			395			390			2000000 	2000000     2000000	    2000000			100			100			100			100	
//501			1000		400			395			395			390			2000000 	2000000     2000000	    2000000			50			50			50			50	
//1001		10000		400			395			395			390			2000000 	2000000     2000000	    2000000			50			50			50			50

end
