//=================================================================================================================================================================================================================================================
// Wings 2.5
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
0	6294	4	145	2	65	2	                80	4	85	1	83	4	110	3	111	3	109	3	108	3	1	        "Wing280"         //Dark Lord Rage Fighter
1	6295	4	145	2	65	2	                80	4	85	1	83	4	110	3	111	3	109	3	108	3	0	        "Wing281"         //Knight Magic
2	6296	4	145	2	65	2	                80	4	85	1	83	4	110	3	111	3	109	3	108	3	0	        "Wing282"         //Wizard Magic Sum
3	6297	4	145	2	65	2	                80	4	85	1	83	4	110	3	111	3	109	3	108	3	0	        "Wing283"         //Elf
//=================================================================================================================================================================================================================================================
// Wings Level 4
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
4	6298	70	145	2	65	2	                80	4	85	1	83	4	110	6	111	6	109	6	108	6	0	        "Wing401"         //Wizard
5	6299	70	145	2	65	2	                80	4	85	1	83	4	110	6	111	6	109	6	108	6	0	        "Wing402"         //Knight
6	6300	70	145	2	65	2	                80	4	85	1	83	4	110	6	111	6	109	6	108	6	0	        "Wing403"         //Elf
7	6301	70	145	2	65	2	                80	4	85	1	83	4	110	6	111	6	109	6	108	6	0	        "Wing404"         //Magic Gladiator
8	6302	70	145	2	65	2	                80	4	85	1	83	4	110	6	111	6	109	6	108	6	1	        "Wing405"         //Dark Lord
9	6303	70	145	2	65	2	                80	4	85	1	83	4	110	6	111	6	109	6	108	6	0	        "Wing406"         //Summoner
10	6304	70	145	2	65	2	                80	4	85	1	83	4	110	6	111	6	109	6	108	6	1	        "Wing407"         //Rage Fighter
//=================================================================================================================================================================================================================================================
// Special Wings (Conqueror, Angel and Devil, Power
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
11	6305	4	145	    2	    65	    2	    80	4	85	1	83	4	110	10	111	10	109	10	108	10	0	        "ConquerorWing"   //All
12	6306	4	145	    2	    65	    2	    80	4	85	1	83	4	110	10	111	10	109	10	108	10	0	        "AngelandDevilWing"         //All
