//==============================================================================
//				MODULO PET EFFECT 		  Dev: Kapocha
//==============================================================================
//Type: 1 = Dinamic, 2 = Static, 3 = Skill.
//Size: Size in Game
//Timer: LargeRand for SkillEffect
//Join(x): Posicion in Model Pet
//==============================================================================
//Index	Join	Type	Effect	Size	        Timer	ColorR	 ColorG	    ColorB
//==============================================================================
//========================================================================================================================================
// GHOST HORSE
//========================================================================================================================================
//==============================================================================
//Index	Join	Type	Effect	Size	        Timer	ColorR	 ColorG	    ColorB
//==============================================================================                                       
//Dynamic
6911   42   1   32394   0.75   150.0   0.35   0.68   1.0
6911   52   1   32394   0.75   150.0   0.35   0.68   1.0
6911   74   1   32394   0.75   150.0   0.35   0.68   1.0
6911   85   1   32394   0.75   150.0   0.35   0.68   1.0
//Static
6911   17   2   32380   0.75    150.0   0.15   0.38   1.0
6911   18   2   32380   0.75    150.0   0.15   0.38   1.0
6911   23   2   32380   0.75    150.0   0.15   0.38   1.0
6911   28   2   32380   0.75    150.0   0.15   0.38   1.0
6911   29   2   32380   0.75    150.0   0.15   0.38   1.0
6911   33   2   32380   0.75    150.0   0.15   0.38   1.0
6911   34   2   32380   0.75    150.0   0.15   0.38   1.0
6911   63   2   32380   0.75    150.0   0.15   0.38   1.0
6911   96   2   32380   0.50    150.0   0.15   0.38   1.0
6911   97   2   32380   0.40    150.0   0.15   0.38   1.0
6911   98   2   32380   0.75    150.0   0.15   0.38   1.0
6911   99   2   32380   0.75    150.0   0.15   0.38   1.0
6911   103  2   32380   0.75    150.0   0.15   0.38   1.0
6911   31   2   32380   1.0     150.0   0.15   0.38   1.0
6911   64   2   32380   1.0     150.0   0.15   0.38   1.0
6911   65   2   32380   1.0     150.0   0.15   0.38   1.0
6911   66   2   32380   1.0     150.0   0.15   0.38   1.0
6911   90   2   32380   1.0     150.0   0.15   0.38   1.0
6911   42   2   32229   1.0     150.0   1.0   1.0   1.0
6911   52   2   32229   1.0     150.0   1.0   1.0   1.0
6911   74   2   32229   1.0     150.0   1.0   1.0   1.0
6911   85   2   32229   1.0     150.0   1.0   1.0   1.0
6911   43   2   32380   0.7     150.0   0.15   0.38   1.0
6911   44   2   32380   0.7     150.0   0.15   0.38   1.0
6911   45   2   32380   1.00    150.0   0.15   0.38   1.0
6911   53   2   32380   0.7     150.0   0.15   0.38   1.0
6911   54   2   32380   0.7     150.0   0.15   0.38   1.0
6911   58   2   32380   1.00    150.0   0.15   0.38   1.0
6911   75   2   32380   0.7     150.0   0.15   0.38   1.0
6911   76   2   32380   0.7     150.0   0.15   0.38   1.0
6911   77   2   32380   1.00    150.0   0.15   0.38   1.0
6911   86   2   32380   0.7     150.0   0.15   0.38   1.0
6911   87   2   32380   0.7     150.0   0.15   0.38   1.0
6911   88   2   32380   1.00    150.0   0.15   0.38   1.0
6911   78   2   32380   1.00    150.0   0.15   0.38   1.0
6911   89   2   32380   1.00    150.0   0.15   0.38   1.0
//========================================================================================================================================
// ICE DRAGON BLUE
//========================================================================================================================================
//==============================================================================
//Index	Join	Type	Effect	Size	        Timer	ColorR	 ColorG	    ColorB
//==============================================================================
//Dynamic
6902    19	   1	32394		1.75	150.0			0.0		0.5		 1.0
6902    60	   1	32394		1.75	150.0			0.0		0.5		 1.0
6902    103	   1	32394		1.75	150.0			0.0		0.5		 1.0
6902    121	   1	32394		1.75	150.0			0.0		0.5		 1.0
6902    19     1    32049		4.5     150.0     0.0     0.0     1.0
6902    60     1    32049		4.5     150.0     0.0     0.0     1.0
6902    103    1    32049		4.5     150.0     0.0     0.0     1.0
6902    121    1    32049		4.5     150.0     0.0     0.0     1.0
6902    11     1    32101		1.5     150.0     0.5     0.5     0.5
6902    19     1    32355		2.5      150.0     0.3     0.3     1.0
6902    60     1    32355		2.5      150.0     0.3     0.3     1.0
6902    103    1    32355		1.5      150.0     0.3     0.3     1.0
6902    121    1    2355		1.5      150.0     0.3     0.3     1.0
6902    19     1    32387		1.5     150.0     0.64    0.808   1.00
6902    60     1    32387		1.5     150.0     0.64    0.808   1.00
6902    103    1    32387		1.5     150.0     0.64    0.808   1.00
6902    121    1    32387		1.5     150.0     0.64    0.808   1.00

//Static
6902    2      2	32380		1.0		150.0			0.6     0.6      0.6 
6902    3      2	32380		1.0		150.0			0.6     0.6      0.6 
6902    4      2	32380		1.0		150.0			0.6     0.6      0.6 
6902    5      2	32380		1.0		150.0			0.6     0.6      0.6 
6902    6      2	32380		1.0		150.0			0.6     0.6      0.6 
6902    7      2	32380		1.0		150.0			0.6     0.6      0.6 
6902    8      2	32380		1.0		150.0			0.6     0.6      0.6 
6902    9      2	32380		1.0		150.0			0.6     0.6      0.6 
6902    12     2	32380		1.0		150.0			0.3     0.3      0.6 
6902    13     2	32380		1.0		150.0			0.3     0.3      0.6 
6902    15     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    16     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    17     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    18     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    19     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    19     2	32380		1.0		150.0			0.0     0.6      1.0 
6902    57     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    58     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    59     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    60     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    60     2	32380		1.0		150.0			0.0     0.6      1.0 
6902    99     2	32380		1.0		150.0			0.6     0.6      0.6 
6902    100    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    101    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    102    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    103    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    103    2	32380		1.0		150.0			0.0     0.6      1.0 
6902    117    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    118    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    119    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    120    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    121    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    121    2	32380		1.0		150.0			0.0     0.6      1.0 
6902    135    2	32380		1.0		150.0			0.6     0.6      0.6 
6902    136    2	32380		1.0		150.0			0.6     0.6      0.6 

//========================================================================================================================================
// ICE DRAGON RED
//========================================================================================================================================
//==============================================================================
//Index	Join	Type	Effect	Size	        Timer	ColorR	 ColorG	    ColorB
//==============================================================================
//Static
6903   2      2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   3      2    32380	    1.0  	150.0      1.0     0.0     0.0   
6903   4      2    32380	    1.0  	150.0      1.0     0.0     0.0  
6903   5      2    32380	    1.0    	150.0      1.0     0.0     0.0    
6903   6      2    32380	    1.0  	150.0      1.0     0.0     0.0   
6903   7      2    32380	    1.0  	150.0      1.0     0.0     0.0   
6903   8      2    32380	    1.0  	150.0      1.0     0.0     0.0   
6903   9      2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   12     2    32380	    1.0  	150.0      0.3     0.3     0.6   
6903   13     2    32380	    1.0  	150.0      0.3     0.3     0.6   
6903   15     2    32380	    1.0    	150.0      1.0     0.0     0.0   
6903   16     2    32380	    1.0    	150.0      1.0     0.0     0.0    
6903   17     2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   18     2    32380	    1.0     150.0      1.0     0.0     0.0    
6903   19     2    32380	    1.0    	150.0      1.0     0.0     0.0    
6903   19     2    32380	    1.0    	150.0      1.0     0.3     0.0    
6903   57     2    32380	    1.0    	150.0      1.0     0.0     0.0    
6903   58     2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   59     2    32380	    1.0    	150.0      1.0     0.0     0.0    
6903   60     2    32380	    1.0    	150.0      1.0     0.0     0.0    
6903   60     2    32380	    1.0     150.0      1.0     0.3     0.0      
6903   99     2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   100    2    32380	    1.0  	150.0      1.0     0.0     0.0  
6903   101    2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   102    2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   103    2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   103    2    32380	    1.0   	150.0      1.0     0.3     0.0   
6903   117    2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   118    2    32380	    1.0    	150.0      1.0     0.0     0.0    
6903   119    2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   120    2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   121    2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   135    2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   136    2    32380	    1.0   	150.0      1.0     0.0     0.0   
6903   121    2    32380	    1.0     150.0      1.0     0.3     0.0    

//Dynamic
6903	19	   1    32394       1.75    150.0       1.0     0.2     0.0                
6903	60	   1    32394       1.75    150.0       1.0     0.2     0.0                
6903	103	   1    32394       1.75    150.0       1.0     0.2     0.0               
6903	121	   1    32394       1.75    150.0       1.0     0.2     0.0
6903    19     1    32049		4.5     150.0       1.0     0.2   0.0
6903    60     1    32049		4.5     150.0       1.0     0.2   0.0
6903    103    1    32049		4.5     150.0       1.0     0.2   0.0
6903    121    1    32049		4.5     150.0       1.0     0.2   0.0
6903    11     1    32101		1.5     150.0       0.91    0.4   0.0
6903    19     1    32355		2.5     150.0       0.91     0.4   0.0
6903    60     1    32355		2.5     150.0       0.91     0.4   0.0
6903    103    1    32355		1.5     150.0       0.91     0.4   0.0
6903    121    1    2355		1.5     150.0       0.91     0.4   0.0
6903    19     1    32387		1.5     150.0       0.91     0.4   0.0
6903    60     1    32387		1.5     150.0       0.91     0.4   0.0
6903    103    1    32387		1.5     150.0       0.91     0.4   0.0
6903    121    1    32387		1.5     150.0       0.91     0.4   0.0              

//========================================================================================================================================
// GHOST
//========================================================================================================================================
//==============================================================================
//Index	Join	Type	Effect	Size	        Timer	ColorR	 ColorG	    ColorB
//==============================================================================
//Static
6904    3		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    4		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    5		2		32002 		 2.00	150.0	  1.0     0.5    0.0            
6904    3		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    4		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    5		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    6		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    7		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    8		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    9		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    9		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    9		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    10		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    13		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    20		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    21		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    26		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    27		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    31		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    33		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    34		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    35		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    36		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    37		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    41		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    42		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    43		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    44		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    45		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    49		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    50		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    51		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    52		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    55		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    57		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    42		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    43		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    22		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    22		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    23		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    23		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    28		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    28		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    29		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    29		2		32002 		 2.00	150.0	  0.80     0.3     0.0        
6904    3		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    4		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    5		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    6		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    7		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    8		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    9		2		32002 		 2.00	150.0	  1.0     0.5     0.0          
6904    10		2		32002 		 2.00	150.0	  1.0     0.5     0.0    

//Dynamic
6904    22		1		32394		1.00	150.0	  1.0     0.5     0.0 
6904    28		1		32394		1.00	150.0	  1.0     0.5     0.0 
6904    37		1		32394		1.00	150.0	  1.0     0.5     0.0 
6904    45		1		32394		1.00	150.0	  1.0     0.5     0.0

//========================================================================================================================================
// ICE DRAGON STEEL
//========================================================================================================================================
//==============================================================================
//Index	Join	Type	Effect	Size	        Timer	ColorR	 ColorG	    ColorB
//==============================================================================
//Static
6905	22	2	32380	0.75	150.0	0.40     0.40     0.40
6905	23	2	32380	0.50	150.0	0.40     0.40     0.40
6905	24	2	32380	1.50	150.0	0.40     0.40     0.40
6905	25	2	32380	1.50	150.0	0.40     0.40     0.40
6905	27	2	32380	0.75	150.0	0.40     0.40     0.40
6905	28	2	32380	1.50	150.0	0.40     0.40     0.40
6905	29	2	32380	1.50	150.0	0.40     0.40     0.40
6905	30	2	32380	1.50	150.0	0.40     0.40     0.40
6905	32	2	32380	0.75	150.0	0.40     0.40     0.40
6905	33	2	32380	0.50	150.0	0.40     0.40     0.40
6905	34	2	32380	1.50	150.0	0.40     0.40     0.40
6905	35	2	32380	1.50	150.0	0.40     0.40     0.40
6905	46	2	32380	0.75	150.0	0.40     0.40     0.40
6905	47	2	32380	0.50	150.0	0.40     0.40     0.40
6905	48	2	32380	1.50	150.0	0.40     0.40     0.40
6905	49	2	32380	1.50	150.0	0.40     0.40     0.40
6905	53	2	32380	1.50	150.0	0.40     0.40     0.40
6905	54	2	32380	0.75	150.0	0.40     0.40     0.40
6905	55	2	32380	0.50	150.0	0.40     0.40     0.40
6905	56	2	32380	1.50	150.0	0.40     0.40     0.40
6905	57	2	32380	1.50	150.0	0.40     0.40     0.40
6905	59	2	32380	0.75	150.0	0.40     0.40     0.40
6905	60	2	32380	0.50	150.0	0.40     0.40     0.40
6905	61	2	32380	1.50	150.0	0.40     0.40     0.40
6905	62	2	32380	1.50	150.0	0.40     0.40     0.40
6905	37	2	32380	0.25	150.0	0.98     0.80     0.07
6905	38	2	32380	0.50	150.0	0.98     0.80     0.07
6905	39	2	32380	0.25	150.0	0.98     0.80     0.07
6905	51	2	32380	0.25	150.0	0.98     0.80     0.07
6905	52	2	32380	0.25	150.0	0.98     0.80     0.07
6905	53	2	32380	0.50	150.0	0.98     0.80     0.07
6905	25	2	32380	0.25	150.0	0.98     0.80     0.07
6905	30	2	32380	0.25	150.0	0.98     0.80     0.07
6905	35	2	32380	0.25	150.0	0.98     0.80     0.07
6905	49	2	32380	0.25	150.0	0.98     0.80     0.07
6905	57	2	32380	0.25	150.0	0.98     0.80     0.07
6905	62	2	32380	0.25	150.0	0.98     0.80     0.07
6905	12	2	32380	1.00	150.0	0.85     0.57     0.00
6905	13	2	32380	1.00	150.0	0.85     0.57     0.00
6905	12	2	32131	0.50	150.0	1.00     1.00     1.00
6905	13	2	32131	0.50	150.0	1.00     1.00     1.00
//Dynamic
6905	18	1	32101	4.00	150.0	0.05     0.05     0.05
6905	44	1	32101	4.00	150.0	0.05     0.05     0.05
6905	70	1	32101	4.00	150.0	0.05     0.05     0.05
6905	76	1	32101	4.00	150.0	0.05     0.05     0.05

//========================================================================================================================================
// GHOST LION
//========================================================================================================================================
//==============================================================================
//Index	Join	Type	Effect	Size	        Timer	ColorR	 ColorG	    ColorB
//==============================================================================
//Static
6906	0 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	1 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	2 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	3 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	4 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	5 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	6 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	7 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	8 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	9 	2	32002	1.00	150.0	0.35     0.68     1.0
6906	10	2	32002	1.00	150.0	0.35     0.68     1.0
6906	11	2	32002	1.00	150.0	0.35     0.68     1.0
6906	12	2	32002	1.00	150.0	0.35     0.68     1.0
6906	13	2	32002	1.00	150.0	0.35     0.68     1.0
6906	14	2	32002	1.00	150.0	0.35     0.68     1.0
6906	15	2	32002	1.00	150.0	0.35     0.68     1.0
6906	16	2	32002	1.00	150.0	0.35     0.68     1.0
6906	17	2	32002	1.00	150.0	0.35     0.68     1.0
6906	18	2	32002	1.00	150.0	0.35     0.68     1.0
6906	19	2	32002	1.00	150.0	0.35     0.68     1.0
6906	20	2	32002	1.00	150.0	0.35     0.68     1.0
6906	21	2	32002	1.00	150.0	0.35     0.68     1.0
6906	22	2	32002	1.00	150.0	0.35     0.68     1.0
6906	23	2	32002	1.00	150.0	0.35     0.68     1.0
6906	24	2	32002	1.00	150.0	0.35     0.68     1.0
6906	25	2	32002	1.00	150.0	0.35     0.68     1.0
6906	26	2	32002	1.00	150.0	0.35     0.68     1.0
6906	27	2	32002	1.00	150.0	0.35     0.68     1.0
6906	28	2	32002	1.00	150.0	0.35     0.68     1.0
6906	29	2	32002	1.00	150.0	0.35     0.68     1.0
6906	30	2	32002	1.00	150.0	0.35     0.68     1.0
6906	31	2	32002	1.00	150.0	0.35     0.68     1.0
6906	32	2	32002	1.00	150.0	0.35     0.68     1.0
6906	33	2	32002	1.00	150.0	0.35     0.68     1.0
6906	34	2	32002	1.00	150.0	0.35     0.68     1.0
6906	35	2	32002	1.00	150.0	0.35     0.68     1.0
6906	36	2	32002	1.00	150.0	0.35     0.68     1.0
6906	37	2	32002	1.00	150.0	0.35     0.68     1.0
6906	38	2	32002	1.00	150.0	0.35     0.68     1.0
6906	39	2	32002	1.00	150.0	0.35     0.68     1.0
6906	40	2	32002	1.00	150.0	0.35     0.68     1.0
6906	41	2	32002	1.00	150.0	0.35     0.68     1.0
6906	42	2	32002	1.00	150.0	0.35     0.68     1.0
6906	43	2	32002	1.00	150.0	0.35     0.68     1.0
6906	44	2	32002	1.00	150.0	0.35     0.68     1.0
6906	45	2	32002	1.00	150.0	0.35     0.68     1.0
6906	46	2	32002	1.00	150.0	0.35     0.68     1.0
6906	47	2	32002	1.00	150.0	0.35     0.68     1.0
6906	48	2	32002	1.00	150.0	0.35     0.68     1.0
6906	49	2	32002	1.00	150.0	0.35     0.68     1.0
6906	50	2	32002	1.00	150.0	0.35     0.68     1.0
6906	51	2	32002	1.00	150.0	0.35     0.68     1.0
6906	52	2	32002	1.00	150.0	0.35     0.68     1.0
6906	53	2	32002	1.00	150.0	0.35     0.68     1.0
6906	54	2	32002	1.00	150.0	0.35     0.68     1.0
6906	55	2	32002	1.00	150.0	0.35     0.68     1.0
6906	56	2	32002	1.00	150.0	0.35     0.68     1.0
6906	57	2	32002	1.00	150.0	0.35     0.68     1.0
//Dynamic


//Fierce Lion by Kapocha (fiercelion.bmd)
//Static
6907		41	2	32501	0.125	100	0.8     0.25    1.0
6907		41	2	32002	0.5  	100	0.8     0.25    1.0
